"state_code","full_code","owner_022","service_on_042a","year_built_027","facility_carried_007","location_009","deck_cond_058","superstructure_cond_059","substructure_cond_060"
"Alabama","Sumter County","County Highway Agency","Highway",1912,"ROADWAY","4.0 MI N CO RT 1064","POOR CONDITION","SERIOUS CONDITION","IMMINENT FAILURE CONDITION"
"Alabama","Morgan County","County Highway Agency","Highway",1920,"CURRY CHAPEL ROAD","1.5 MI W SR 36","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION","FAILED CONDITION - out of service"
"Alabama","Calhoun County","County Highway Agency","Highway",1958,"STEINBURG RD.","3 MI NE PIEDMONT","POOR CONDITION","FAIR CONDITION","IMMINENT FAILURE CONDITION"
"Alabama","Wilcox County","County Highway Agency","Highway",1971,"CO RD 12","1.1 MILES N.ON RTE. 12","SATISFACTORY CONDITION","SATISFACTORY CONDITION","IMMINENT FAILURE CONDITION"
"Alabama","Blount County","City or Municipal Highway Agency","Highway",1958,"MOORE ROAD","2 MI SW OF SNEAD","SATISFACTORY CONDITION","SERIOUS CONDITION","IMMINENT FAILURE CONDITION"
"Alabama","Wilcox County","County Highway Agency","Highway",1965,"CO.RD. 209","1.9 MILES E.ON ROAD","FAIR CONDITION","FAIR CONDITION","IMMINENT FAILURE CONDITION"
"Alabama","Wilcox County","County Highway Agency","Highway",1950,"CO.RD.","1.9 MILES S.ON ROAD117","FAIR CONDITION","FAIR CONDITION","IMMINENT FAILURE CONDITION"
"Alabama","Clay County","County Highway Agency","Highway",1965,"PINE HOLE ROAD","2 MILES S OF LINEVILLE","POOR CONDITION","IMMINENT FAILURE CONDITION","POOR CONDITION"
"Alabama","Choctaw County","County Highway Agency","Highway",1986,"Timberlane Rd.","1.6 MI W JCT AL10/AL17","POOR CONDITION","IMMINENT FAILURE CONDITION","SERIOUS CONDITION"
"Alaska","Chugach Census Area","State Highway Agency","Highway",1977,"COPPER RIVER HWY","MILE POINT 36.2","SATISFACTORY CONDITION","SATISFACTORY CONDITION","IMMINENT FAILURE CONDITION"
"Arizona","Graham County","Bureau of Indian Affairs","Highway",1929,"IRR BIA RTE 3","36.3 KM E OF COOLIDGE DAM","SATISFACTORY CONDITION","IMMINENT FAILURE CONDITION","SATISFACTORY CONDITION"
"Arkansas","St. Francis County","County Highway Agency","Highway",1955,"Cr-929/Z-G/L-6.79","1.65 Mi S OfJct 930 & 929","IMMINENT FAILURE CONDITION","FAIR CONDITION","IMMINENT FAILURE CONDITION"
"Arkansas","Sebastian County","Other State Agencies","Highway",1941,"Auburn Rd Chaffee","3.75 mi N of Lone Star Ch","IMMINENT FAILURE CONDITION","SATISFACTORY CONDITION","SERIOUS CONDITION"
"California","Solano County","County Highway Agency","Highway",1962,"MAIN PRAIRIE RD","0.3 MI E OF RTE 113","FAIR CONDITION","FAIR CONDITION","IMMINENT FAILURE CONDITION"
"California","Merced County","County Highway Agency","Highway",1962,"QUINLEY AVENUE","0.6 MI SOUTH OF RTE 140","POOR CONDITION","FAIR CONDITION","IMMINENT FAILURE CONDITION"
"Colorado","Otero County","County Highway Agency","Highway",1966,"COUNTY ROAD 15","1.0 MI S OF SH 50","FAIR CONDITION","SATISFACTORY CONDITION","IMMINENT FAILURE CONDITION"
"Florida","Taylor County","County Highway Agency","Highway",1989,"GRANGER DRIVE","0.5 MI E OF SR 51 VIA 2ND","GOOD CONDITION","SATISFACTORY CONDITION","IMMINENT FAILURE CONDITION"
"Florida","Bay County","County Highway Agency","Highway",1957,"Scott Road","3.0 Mi West US231/SR75","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION"
"Florida","Holmes County","County Highway Agency","Highway",1994,"Rice Machine Road","1.2 Mi W Malcolm Taylo Rd","FAIR CONDITION","FAIR CONDITION","IMMINENT FAILURE CONDITION"
"Florida","Jackson County","County Highway Agency","Highway",2001,"Reddick Mill Road","1.33 Miles West of CR 277","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION"
"Florida","Brevard County","County Highway Agency","Highway",1991,"Sea Ray Drive","1.9mi W of N Banana Ri Dr","GOOD CONDITION","GOOD CONDITION","IMMINENT FAILURE CONDITION"
"Georgia","Clayton County","County Highway Agency","Highway",1932,"REX CIRCLE","1.6 MI E JCT SR 42 IN REX","FAIR CONDITION","IMMINENT FAILURE CONDITION","FAIR CONDITION"
"Georgia","DeKalb County","County Highway Agency","Highway",1965,"CEDAR GROVE ROAD","8 MI S OF DECATUR","GOOD CONDITION","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION"
"Georgia","Elbert County","County Highway Agency","Highway",1915,"SWEET CITY ROAD","6.5 MI W OF ELBERTON","POOR CONDITION","IMMINENT FAILURE CONDITION","FAIR CONDITION"
"Georgia","Elbert County","County Highway Agency","Highway",1951,"CALHOUN ROAD","6 MI E OF BOWMAN","GOOD CONDITION","FAIR CONDITION","IMMINENT FAILURE CONDITION"
"Georgia","Fannin County","County Highway Agency","Highway",1969,"NEWPORT ROAD","8.9 MI S OF MORGANTON","GOOD CONDITION","GOOD CONDITION","IMMINENT FAILURE CONDITION"
